1,Better Buildings Act of 2015,2015-01-06,2015-03-04,Message on Senate action sent to the House.
10,Anti-Semitism Awareness Act of 2016,2016-12-01,2016-12-22,Referred to the Subcommittee on the Constitution and Civil Justice.
100,Home School Opportunities Make Education Sound Act of 2015,2015-01-07,2015-01-07,Read twice and referred to the Committee on Finance.
1000,SCORE for Small Business Act of 2015,2015-04-16,2016-04-21,By Senator Vitter from Committee on Small Business and Entrepreneurship filed written report. Report No. 114-242.
1001,Small Business Lending Reauthorization Act of 2015,2015-04-16,2016-05-26,By Senator Vitter from Committee on Small Business and Entrepreneurship filed written report. Report No. 114-268.
1002,Collegiate Housing and Infrastructure Act of 2015,2015-04-16,2015-04-16,Read twice and referred to the Committee on Finance.
1003,Trade Adjustment Assistance Enhancement Act of 2015,2015-04-16,2015-04-16,Read twice and referred to the Committee on Finance. (Sponsor introductory remarks on measure:CR S2296-2297))
1004,Veterans Day Moment of Silence Act,2015-04-16,2016-10-07,Became Public Law No: 114-240.
1005,Health Coverage Tax Credit Extension Act of 2015,2015-04-16,2015-04-16,Read twice and referred to the Committee on Finance.
1006,Positive Train Control Safety Act,2015-04-16,2016-09-22,Placed on Senate Legislative Calendar under General Orders. Calendar No. 641.
1007,"S. 1007, a bill to amend the Dayton Aviation Heritage Preservation Act of 1992, and for other purposes",2015-04-20,2015-03-02,Referred to the Subcommittee on Federal Lands.
1008,A bill to require certain agencies to conduct assessments of data centers and develop data center consolidation and optimization plans.,2015-04-20,2015-04-20,Read twice and referred to the Committee on Homeland Security and Governmental Affairs.
1009,"S. 1009, a bill to extend the African Growth and Opportunity Act, the Generalized System of Preferences, the preferential duty treatment for Haiti, and for other purposes",2015-04-20,2015-04-20,Read twice and referred to the Committee on Finance.
101,"A bill to amend the Internal Revenue Code of 1986 to expand the Coverdell education savings accounts to allow home school education expenses, and for other purposes.",2015-01-07,2015-01-29,Read twice and referred to the Committee on Finance.
1010,"Small Business Mergers, Acquisitions, Sales, and Brokerage Simplification Act of 2015",2015-04-20,2015-04-20,"Read twice and referred to the Committee on Banking, Housing, and Urban Affairs."
1011,STEP UP for American Small Businesses Act,2015-04-20,2015-05-21,Referred to the House Committee on Small Business.
1012,Working Families Tax Relief Act of 2015,2015-04-20,2015-08-05,Read twice and referred to the Committee on Finance.
1013,Ensuring Access to Quality Complex Rehabilitation Technology Act of 2015,2015-04-20,2015-04-20,Read twice and referred to the Committee on Finance.
1014,Personal Care Products Safety Act,2015-04-20,2016-09-22,"Committee on Health, Education, Labor, and Pensions. Hearings held."
1015,Enforcing Orders and Reducing Customs Evasion Act of 2015,2015-04-20,2015-04-20,Read twice and referred to the Committee on Finance.
1016,Preserving Freedom and Choice in Health Care Act,2015-04-20,2015-04-20,Read twice and referred to the Committee on Finance.
1017,"A bill to amend the Federal Power Act to improve the siting of interstate electric transmission facilities, and for other purposes.",2015-04-21,2015-05-14,Committee on Energy and Natural Resources. Hearings held.
1018,SWAT Act,2015-04-21,2015-04-21,Read twice and referred to the Committee on the Judiciary.
1019,Freedom from Over-Criminalization and Unjust Seizures Act of 2015,2015-04-21,2015-04-21,Read twice and referred to the Committee on Environment and Public Works.
102,21st Century Charter School Act,2015-01-07,2015-01-07,"Read twice and referred to the Committee on Health, Education, Labor, and Pensions."
1020,Diagnostic Imaging Services Access Protection Act of 2015,2015-04-21,2015-05-11,Referred to the Subcommittee on Health.
1021,Wounded Warrior Workforce Enhancement Act,2015-04-21,2015-04-21,Read twice and referred to the Committee on Veterans' Affairs. (text of measure as introduced: CR S2302-2303)
1022,Wounded Warrior Research Enhancement Act,2015-04-21,2015-04-21,Read twice and referred to the Committee on Armed Services. (text of measure as introduced: CR S2303-2304)
1023,A bill to amend the Internal Revenue Code to provide a refundable credit for costs associated with Information Sharing and Analysis Organizations.,2015-04-21,2015-04-21,Read twice and referred to the Committee on Finance.
1024,"S. 1024, Great Lakes Restoration Initiative Act of 2016",2015-04-21,2016-02-24,Placed on Senate Legislative Calendar under General Orders. Calendar No. 372.
1025,Student Testing Improvement and Accountability Act,2015-04-21,2015-04-29,"Referred to the Subcommittee on Early Childhood, Elementary, and Secondary Education."
1026,North American Alternative Fuels Act,2015-04-21,2015-05-19,Committee on Energy and Natural Resources. Hearings held.
1027,Data Breach Notification and Punishing Cyber Criminals Act of 2015,2015-04-21,2015-04-21,"Read twice and referred to the Committee on Commerce, Science, and Transportation. (Sponsor introductory remarks on measure: CR S2304)"
1028,Ensuring a Better Response for Victims of Child Sex Trafficking,2015-04-21,2015-05-29,Became Public Law No: 114-22.
1029,"A bill to amend the Energy Policy and Conservation Act to prohibit the Secretary of Energy from prescribing a final rule amending the efficiency standards for residential non-weatherized gas furnaces or mobile home furnaces until an analysis has been completed, and for other purposes.",2015-04-21,2015-04-30,Committee on Energy and Natural Resources. Hearings held.
103,Ensuring Pay for Our Military Act,2015-01-07,2015-01-07,Read twice and referred to the Committee on Appropriations.
1030,Aaron's Law Act of 2015,2015-04-21,2015-04-21,Read twice and referred to the Committee on the Judiciary. (Sponsor introductory remarks on measure:CR S2304; text of measure as introduced: CR S2304-2305)
1031,WIOA Technical Amendments Act,2015-04-21,2015-05-22,Became Public Law No: 114-18.
1032,Accountability Through Electronic Verification Act,2015-04-21,2015-04-21,Read twice and referred to the Committee on the Judiciary. (Sponsor introductory remarks on measure: CR S2305)
1033,Quadrennial Energy Review Act of 2015,2015-04-21,2015-06-09,Committee on Energy and Natural Resources. Hearings held.
1034,"A bill to designate the United States courthouse located at 501 East Court Street in Jackson, Mississippi, as the ""Charles Clark United States Courthouse"".",2015-04-21,2015-05-04,Placed on Senate Legislative Calendar under General Orders. Calendar No. 66.
1035,"A bill to extend authority relating to roving surveillance, access to business records, and individual terrorists as agents of foreign powers under the Foreign Intelligence Surveillance Act of 1978 and for other purposes.",2015-04-21,2015-04-22,Read the second time. Placed on Senate Legislative Calendar under General Orders. Calendar No. 60.
1036,Sage-Grouse Protection and Conservation Act,2015-04-22,2015-04-23,Referred to the House Committee on Natural Resources.
1037,A bill to expand the provisions for termination of mandatory purchase requirements under the Public Utility Regulatory Policies Act of 1978.,2015-04-22,2015-05-14,Committee on Energy and Natural Resources. Hearings held.
1038,Energy Star Program Integrity Act,2015-04-22,2015-01-23,Referred to the Subcommittee on Energy and Power.
1039,A bill to require certain agencies to conduct assessments of data centers and develop data center consolidation and optimization plans to achieve energy cost savings.,2015-04-22,2015-04-20,Read twice and referred to the Committee on Homeland Security and Governmental Affairs.
104,Natural Disaster Fairness in Contracting Act of 2015,2015-01-07,2015-01-07,Read twice and referred to the Committee on Homeland Security and Governmental Affairs.
1040,ROV In-Depth Examination Act of 2015,2015-04-22,2016-09-22,Placed on Senate Legislative Calendar under General Orders. Calendar No. 642.
1041,End Polluter Welfare Act of 2015,2015-04-22,2015-08-18,Referred to the Subcommittee on Environment.
1042,COAST Anti-Drilling Act,2015-04-22,2015-04-22,Read twice and referred to the Committee on Energy and Natural Resources.
1043,Invest in American Jobs Act of 2015,2015-04-22,2015-04-22,"Read twice and referred to the Committee on Commerce, Science, and Transportation."
1044,E-Access Act,2015-04-22,2015-04-30,Committee on Energy and Natural Resources. Hearings held.
1045,Restoring the 10th Amendment Act,2015-04-22,2015-05-15,"Referred to the Subcommittee on Regulatory Reform, Commercial And Antitrust Law."
1046,Smart Building Acceleration Act,2015-04-22,2015-08-18,Referred to the Subcommittee on Research and Technology.
1047,"A bill to require the Secretary of Energy to review rulemaking proceedings of other Federal agencies for the potential to cause an adverse effect on the cost, time, or difficulty of complying with energy efficiency regulations, guidelines, or standards.",2015-04-22,2015-04-30,Committee on Energy and Natural Resources. Hearings held.
1048,A bill to remove the authority of the Secretary of Energy to amend or issue new energy efficiency standards for ceiling fans.,2015-04-22,2015-04-30,Committee on Energy and Natural Resources. Hearings held.
1049,Agricultural Export Expansion Act of 2015,2015-04-22,2015-04-22,"Read twice and referred to the Committee on Banking, Housing, and Urban Affairs. (Sponsor introductory remarks on measure: CR S2353-2354)"
105,Red Snapper Management Improvement Act,2015-01-07,2015-01-07,"Read twice and referred to the Committee on Commerce, Science, and Transportation."
1050,INSPIRES Act,2015-04-22,2015-04-22,"Read twice and referred to the Committee on Health, Education, Labor, and Pensions."
1051,National Health Service Corps Expansion Act of 2015,2015-04-22,2015-04-22,"Read twice and referred to the Committee on Health, Education, Labor, and Pensions. (text of measure as introduced: CR S2354)"
1052,"A bill to require a study on the impact of State and local performance benchmarking and disclosure policies for commercial and multifamily buildings, to provide for competitive awards to utilities, States, and units of local government, and for other purposes.",2015-04-22,2015-02-13,Referred to the Subcommittee on Energy and Power.
1053,A bill to amend the National Energy Conservation Policy Act to promote alternative fueled vehicle fleets and infrastructure.,2015-04-22,2015-04-30,Committee on Energy and Natural Resources. Hearings held.
1054,Smart Manufacturing Leadership Act,2015-04-22,2015-08-18,Referred to the Subcommittee on Research and Technology.
1055,A bill to require the Administrator of General Services and the Secretary of Energy to set goals for deep energy retrofits in Federal buildings.,2015-04-22,2015-04-22,Read twice and referred to the Committee on Environment and Public Works.
1056,End Racial Profiling Act of 2015,2015-04-22,2015-06-18,Read twice and referred to the Committee on the Judiciary. (Sponsor introductory remarks on measure: CR S4302)
1057,GEO Act,2015-04-22,2015-05-19,Committee on Energy and Natural Resources. Hearings held.
1058,Marine and Hydrokinetic Renewable Energy Act of 2015,2015-04-22,2015-08-18,Referred to the Subcommittee on Energy.
1059,College Options for DREAMers Act,2015-04-22,2015-11-16,Referred to the Subcommittee on Higher Education and Workforce Training.
106,Ending Legacy Lawsuit Abuse Act,2015-01-07,2015-01-07,Read twice and referred to the Committee on Environment and Public Works.
1060,Pell Grant Protection Act,2015-04-22,2015-11-16,Referred to the Subcommittee on Higher Education and Workforce Training.
1061,Pell Grant Cost of Tuition Adjustment Act,2015-04-22,2015-11-16,Referred to the Subcommittee on Higher Education and Workforce Training.
1062,Year-Round Pell Grant Restoration Act,2015-04-22,2015-04-22,"Read twice and referred to the Committee on Health, Education, Labor, and Pensions."
1063,American Energy Efficiency Act,2015-04-22,2015-07-31,Referred to the Subcommittee on Energy and Power.
1064,Family Asthma Act,2015-04-23,2015-04-23,"Read twice and referred to the Committee on Health, Education, Labor, and Pensions."
1065,School Asthma Management Plan Act,2015-04-23,2015-04-23,"Read twice and referred to the Committee on Health, Education, Labor, and Pensions."
1066,Medicare Safe Needle Disposal Coverage Act of 2015,2015-04-23,2015-04-23,Read twice and referred to the Committee on Finance.
